faa,name,tz,tzone
CEW,Bob Sikes,-6,America/Chicago
CEZ,Cortez Muni,-7,America/Denver
CFD,Coulter Fld,-6,America/Chicago
CGA,Craig Seaplane Base,-9,America/Anchorage
CGC,Crystal River,-5,America/New_York
CGF,Cuyahoga County,-5,America/New_York
CGI,Cape Girardeau Regional Airport,-6,America/Chicago
CGX,Meigs Field,-6,America/Chicago
CGZ,Casa Grande Municipal Airport,-7,America/Phoenix
CHA,Lovell Fld,-5,America/New_York
CHI,All Airports,-6,America/Chicago
CHO,Charlottesville-Albemarle,-5,America/New_York
CHS,Charleston Afb Intl,-5,America/New_York
CHU,Chuathbaluk Airport,-9,America/Anchorage
CIC,Chico Muni,-8,America/Los_Angeles
CID,Cedar Rapids,-6,America/Chicago
CIK,Chalkyitsik Airport,-9,America/Anchorage
CIL,Council Airport,-9,America/Anchorage
CIU,Chippewa County International Airport,-5,America/New_York
CKB,Harrison Marion Regional Airport,-5,America/New_York
CKD,Crooked Creek Airport,-9,America/Anchorage
CKF,Crisp County Cordele Airport,-5,America/New_York
CKV,Clarksville-Montgomery County Regional Airport,-6,America/Chicago
CLC,Clear Lake Metroport,-6,America/Chicago
CLD,McClellan-Palomar Airport,-8,America/Los_Angeles
CLE,Cleveland Hopkins Intl,-5,America/New_York
CLL,Easterwood Fld,-6,America/Chicago
CLM,William R Fairchild International Airport,-8,America/Los_Angeles
CLS,Chehalis-Centralia,-8,America/Los_Angeles
CLT,Charlotte Douglas Intl,-5,America/New_York
CLW,Clearwater Air Park,-5,America/New_York
CMH,Port Columbus Intl,-5,America/New_York
CMI,Champaign,-6,America/Chicago
CMX,Houghton County Memorial Airport,-5,America/New_York
CNM,Cavern City Air Terminal,-7,America/Denver
CNW,Tstc Waco,-6,America/Chicago
CNY,Canyonlands Field,-7,America/Denver
COD,Yellowstone Rgnl,-7,America/Denver
COE,Pappy Boyington,-8,America/Los_Angeles
COF,Patrick Afb,-5,America/New_York
COI,Merritt Island Airport,-5,America/New_York
CON,Concord Municipal,-5,America/New_York
COS,City Of Colorado Springs Muni,-7,America/Denver
COT,Cotulla Lasalle Co,-6,America/Chicago
COU,Columbia Rgnl,-6,America/Chicago
CPR,Natrona Co Intl,-7,America/Denver
CPS,St. Louis Downtown Airport,-6,America/Chicago
CRE,Grand Strand Airport,-5,America/New_York
CRP,Corpus Christi Intl,-6,America/Chicago
CRW,Yeager,-5,America/New_York
CSG,Columbus Metropolitan Airport,-5,America/New_York
CTB,Cut Bank Muni,-7,America/Denver
CTH,Chester County G O Carlson Airport,-5,America/New_York
CTJ,West Georgia Regional Airport - O V Gray Field,-5,America/New_York
CTY,Cross City,-5,America/New_York
CVG,Cincinnati Northern Kentucky Intl,-5,America/New_York
CVN,Clovis Muni,-7,America/Denver
CVO,Corvallis Muni,-8,America/Los_Angeles
CVS,Cannon Afb,-7,America/Denver
CVX,Charlevoix Municipal Airport,-5,America/New_York
CWA,Central Wisconsin,-6,America/Chicago
CWI,Clinton Municipal,-6,America/Chicago
CWT,Chatsworth Station,-8,America/Los_Angeles
CXF,Coldfoot Airport,-9,America/Anchorage
CXL,Calexico Intl,-8,America/Los_Angeles
CXO,Lone Star Executive,-6,America/Chicago
CXY,Capital City Airport,-5,America/New_York
CYF,Chefornak Airport,-9,America/Anchorage
CYM,Chatham Seaplane Base,-9,America/Anchorage
CYS,Cheyenne Rgnl Jerry Olson Fld,-7,America/Denver
CYT,Yakataga Airport,-9,America/Anchorage
CZF,Cape Romanzof Lrrs,-9,America/Anchorage
CZG,Tri-Cities,-5,America/New_York
CZN,Chisana Airport,-9,America/Anchorage
DAB,Daytona Beach Intl,-5,America/New_York
DAL,Dallas Love Fld,-6,America/Chicago
DAW,Skyhaven Airport,-5,America/New_York
DAY,James M Cox Dayton Intl,-5,America/New_York
DBN,W H Barron Field,-5,America/New_York
DBQ,Dubuque Rgnl,-6,America/Chicago
DCA,Ronald Reagan Washington Natl,-5,America/New_York
DDC,Dodge City Regional Airport,-6,America/Chicago
DEC,Decatur,-6,America/Chicago
DEN,Denver Intl,-7,America/Denver
DET,Coleman A Young Muni,-5,America/New_York
DFW,Dallas Fort Worth Intl,-6,America/Chicago
DGL,Douglas Municipal Airport,-7,America/Phoenix
DHB,Deer Harbor Seaplane,-8,America/Los_Angeles
DHN,Dothan Rgnl,-6,America/Chicago
DHT,Dalhart Muni,-6,America/Chicago
DIK,Dickinson Theodore Roosevelt Regional Airport,-7,America/Denver
DKB,De Kalb Taylor Municipal Airport,-6,America/Chicago
DKK,Chautauqua County-Dunkirk Airport,-5,America/New_York
DKX,Knoxville Downtown Island Airport,-5,America/New_York
DLF,Laughlin Afb,-6,America/Chicago
DLG,Dillingham,-9,America/Anchorage
DLH,Duluth Intl,-6,America/Chicago
DLL,Baraboo Wisconsin Dells Airport,-6,America/Chicago
DMA,Davis Monthan Afb,-7,America/Phoenix
DNL,Daniel Field Airport,-5,America/New_York
DNN,Dalton Municipal Airport,-5,America/New_York
DNV,Vermilion Regional,-6,America/Chicago
DOV,Dover Afb,-5,America/New_York
DPA,Dupage,-6,America/Chicago
DQH,Douglas Municipal Airport,-5,America/New_York
DRG,Deering Airport,-9,America/Anchorage
DRI,Beauregard Rgnl,-6,America/Chicago
DRM,Drummond Island Airport,-5,America/New_York
DRO,Durango La Plata Co,-7,America/Denver
DRT,Del Rio Intl,-6,America/Chicago
DSM,Des Moines Intl,-6,America/Chicago
DTA,Delta Municipal Airport,-7,America/Denver
DTS,Destin,-6,America/Chicago
DTW,Detroit Metro Wayne Co,-5,America/New_York
DUC,Halliburton Field Airport,-6,America/Chicago
DUG,Bisbee Douglas Intl,-7,America/Phoenix
DUJ,DuBois Regional Airport,-5,America/New_York
DUT,Unalaska,-9,America/Anchorage
DVL,Devils Lake Regional Airport,-6,America/Chicago
DVT,Deer Valley Municipal Airport,8,Asia/Chongqing
DWA,Yolo County Airport,-8,America/Los_Angeles
DWH,David Wayne Hooks Field,-6,America/Chicago
DWS,Orlando,-5,America/New_York
DXR,Danbury Municipal Airport,-5,America/New_York
DYS,Dyess Afb,-6,America/Chicago
E25,Wickenburg Municipal Airport,-7,America/Phoenix
E51,Bagdad Airport,-7,America/Phoenix
E55,Ocean Ridge Airport,-8,America/Los_Angeles
E63,Gila Bend Municipal Airport,-7,America/Phoenix
E91,Chinle Municipal Airport,-7,America/Denver
EAA,Eagle Airport,-9,America/Anchorage
EAR,Kearney Municipal Airport,-6,America/Chicago
EAT,Pangborn Field,-8,America/Los_Angeles
EAU,Chippewa Valley Regional Airport,-6,America/Chicago
ECA,Iosco County,-5,America/New_York
ECG,Elizabeth City Cgas Rgnl,-5,America/New_York
ECP,Panama City-NW Florida Bea.,-6,America/Chicago
EDF,Elmendorf Afb,-9,America/Anchorage
EDW,Edwards Afb,-8,America/Los_Angeles
EEK,Eek Airport,-9,America/Anchorage
EEN,Dillant Hopkins Airport,-5,NA
EET,Shelby County Airport,-6,America/Chicago
EFD,Ellington Fld,-6,America/Chicago
EGA,Eagle County Airport,-7,America/Denver
EGE,Eagle Co Rgnl,-7,America/Denver
EGT,Wellington Municipal,-6,America/Chicago
EGV,Eagle River,-6,America/Chicago
EGX,Egegik Airport,-9,America/Anchorage
EHM,Cape Newenham Lrrs,-9,America/Anchorage
EIL,Eielson Afb,-9,America/Anchorage
EKI,Elkhart Municipal,-5,America/New_York
EKN,Elkins Randolph Co Jennings Randolph,-5,America/New_York
EKO,Elko Regional Airport,-8,America/Los_Angeles
EKY,Bessemer,-6,America/Chicago
ELD,South Arkansas Rgnl At Goodwin Fld,-6,America/Chicago
ELI,Elim Airport,-9,America/Anchorage
ELM,Elmira Corning Rgnl,-5,America/New_York
ELP,El Paso Intl,-7,America/Denver
ELV,Elfin Cove Seaplane Base,-9,America/Anchorage
ELY,Ely Airport,-8,America/Los_Angeles
EMK,Emmonak Airport,-9,America/Anchorage
EMP,Emporia Municipal Airport,-6,America/Chicago
ENA,Kenai Muni,-9,America/Anchorage
END,Vance Afb,-6,America/Chicago
ENV,Wendover,-7,America/Denver
ENW,Kenosha Regional Airport,-6,America/Chicago
EOK,Keokuk Municipal Airport,-6,America/Chicago
EPM,Eastport Municipal Airport,-5,America/New_York
EQY,Monroe Reqional Airport,-5,America/New_York
ERI,Erie Intl Tom Ridge Fld,-5,America/New_York
ERV,Kerrville Municipal Airport,-6,America/Chicago
ERY,Luce County Airport,-5,America/New_York
ESC,Delta County Airport,-5,America/New_York
ESD,Orcas Island Airport,-8,America/Los_Angeles
ESF,Esler Rgnl,-6,America/Chicago
ESN,Easton-Newnam Field Airport,-5,America/New_York
EUF,Weedon Field,-6,America/Chicago
EUG,Mahlon Sweet Fld,-8,America/Los_Angeles
EVV,Evansville Regional,-6,America/Chicago
EVW,Evanston-Uinta CO Burns Fld,-7,America/Denver
EWB,New Bedford Regional Airport,-5,America/New_York
EWK,Newton City-County Airport,-6,America/Chicago
EWN,Craven Co Rgnl,-5,America/New_York
EWR,Newark Liberty Intl,-5,America/New_York
EXI,Excursion Inlet Seaplane Base,-9,America/Anchorage
EYW,Key West Intl,-5,America/New_York
F57,Seaplane Base,-5,America/New_York
FAF,Felker Aaf,-5,America/New_York
FAI,Fairbanks Intl,-9,America/Anchorage
FAR,Hector International Airport,-6,America/Chicago
FAT,Fresno Yosemite Intl,-8,America/Los_Angeles
FAY,Fayetteville Regional Grannis Field,-5,America/New_York
FBG,Fredericksburg Amtrak Station,-5,America/New_York
FBK,Ladd Aaf,-9,America/Anchorage
FBR,Fort Bridger,-7,America/Denver
FBS,Friday Harbor Seaplane Base,-8,America/Los_Angeles
FCA,Glacier Park Intl,-7,America/Denver
FCM,Flying Cloud Airport,-6,America/Chicago
FCS,Butts Aaf,-7,America/Denver
FDW,Fairfield County Airport,-5,America/New_York
FDY,Findlay Airport,-5,America/New_York
FFA,First Flight Airport,-5,America/New_York
FFC,Atlanta Regional Airport - Falcon Field,-5,America/New_York
FFO,Wright Patterson Afb,-5,America/New_York
FFT,Capital City Airport,-5,America/New_York
FFZ,Mesa Falcon Field,-7,America/Phoenix
FHU,Sierra Vista Muni Libby Aaf,-7,America/Phoenix
FIT,Fitchburg Municipal Airport,-5,America/New_York
FKL,Franklin,-5,America/New_York
FLD,Fond Du Lac County Airport,-6,America/Chicago
FLG,Flagstaff Pulliam Airport,-7,America/Phoenix
FLL,Fort Lauderdale Hollywood Intl,-5,America/New_York
FLO,Florence Rgnl,-5,America/New_York
FLV,Sherman Aaf,-6,America/Chicago
FME,Tipton,-5,America/New_York
FMH,Otis Angb,-5,America/New_York
FMN,Four Corners Rgnl,-7,America/Denver
FMY,Page Fld,-5,America/New_York
FNL,Fort Collins Loveland Muni,-7,America/Denver
FNR,Funter Bay Seaplane Base,-9,America/Anchorage
FNT,Bishop International,-5,America/New_York
FOD,Fort Dodge Rgnl,-6,America/Chicago
FOE,Forbes Fld,-6,America/Chicago
FOK,Francis S Gabreski,-5,America/New_York
FRD,Friday Harbor Airport,-8,America/Los_Angeles
FRI,Marshall Aaf,-6,America/Chicago
FRN,Bryant Ahp,-9,America/Anchorage
FRP,St Lucie County International Airport,-5,America/New_York
FSD,Sioux Falls,-6,America/Chicago
FSI,Henry Post Aaf,-6,America/Chicago
FSM,Fort Smith Rgnl,-6,America/Chicago
FST,Fort Stockton Pecos Co,-6,America/Chicago
FTK,Godman Aaf,-5,America/New_York
FTW,Fort Worth Meacham Intl,-6,America/Chicago
FTY,Fulton County Airport Brown Field,-5,America/New_York
FUL,Fullerton Municipal Airport,-8,America/Los_Angeles
FWA,Fort Wayne,-5,America/New_York
FXE,Fort Lauderdale Executive,-5,America/New_York
FYU,Fort Yukon,-9,America/Anchorage
FYV,Drake Fld,-6,America/Chicago
FZG,Fitzgerald Municipal Airport,-5,America/New_York
FZI,Fostoria Metropolitan Airport,-5,America/New_York
GAD,Northeast Alabama Regional Airport,-6,America/Chicago
GAI,Montgomery County Airpark,-5,America/New_York
GAL,Edward G Pitka Sr,-9,America/Anchorage
GAM,Gambell Airport,-9,America/Anchorage
GBN,Great Bend Municipal,-6,America/Chicago
GCC,Gillette-Campbell County Airport,-7,America/Denver
GCK,Garden City Rgnl,-6,America/Chicago
GCN,Grand Canyon National Park Airport,-7,America/Phoenix
GCW,Grand Canyon West Airport,-7,America/Phoenix
GDV,Dawson Community Airport,-7,America/Denver
GDW,Gladwin Zettel Memorial Airport,-5,America/New_York
GED,Sussex Co,-5,America/New_York
GEG,Spokane Intl,-8,America/Los_Angeles
GEU,Glendale Municipal Airport,-7,America/Phoenix
GFK,Grand Forks Intl,-6,America/Chicago
GFL,Floyd Bennett Memorial Airport,-5,America/New_York
GGE,Georgetown County Airport,-5,America/New_York
GGG,East Texas Rgnl,-6,America/Chicago
GGW,Wokal Field Glasgow International Airport,-7,America/Denver
GHG,Marshfield Municipal Airport,-5,America/New_York
GIF,Gilbert Airport,-5,America/New_York
GJT,Grand Junction Regional,-7,America/Denver
GKN,Gulkana,-9,America/Anchorage
GKY,Arlington Municipal,-6,America/Chicago
GLD,Renner Fld,-7,America/Denver
GLH,Mid Delta Regional Airport,-6,America/Chicago
GLS,Scholes Intl At Galveston,-6,America/Chicago
GLV,Golovin Airport,-9,America/Anchorage
GNT,Grants Milan Muni,-7,America/Denver
GNU,Goodnews Airport,-9,America/Anchorage
GNV,Gainesville Rgnl,-5,America/New_York
GON,Groton New London,-5,America/New_York
GPT,Gulfport-Biloxi,-6,America/Chicago
GPZ,Grand Rapids Itasca County,-6,America/Chicago
GQQ,Galion Municipal Airport,-5,America/New_York
GRB,Austin Straubel Intl,-6,America/Chicago
GRF,Gray Aaf,-8,America/Los_Angeles
GRI,Central Nebraska Regional Airport,-6,America/Chicago
GRK,Robert Gray Aaf,-6,America/Chicago
GRM,Grand Marais Cook County Airport,-6,America/Chicago
GRR,Gerald R Ford Intl,-5,America/New_York
GSB,Seymour Johnson Afb,-5,America/New_York
GSO,Piedmont Triad,-5,America/New_York
GSP,Greenville-Spartanburg International,-5,America/New_York
GST,Gustavus Airport,-9,America/Anchorage
GTB,Wheeler Sack Aaf,-5,America/New_York
GTF,Great Falls Intl,-7,America/Denver
GTR,Golden Triangle Regional Airport,-6,America/Chicago
GTU,Georgetown Municipal Airport,-6,America/Chicago
GUC,Gunnison - Crested Butte,-7,America/Denver
GUP,Gallup Muni,-7,America/Denver
GUS,Grissom Arb,-5,America/New_York
