faa,name,lat,lon,alt,dst
6J4,Saluda County,33.5561,-81.4768,539,A
6K8,Tok Junction Airport,63.329444,-142.953611,1639,A
6S0,Big Timber Airport,45.8063889,-109.9811111,4492,A
6S2,Florence,43.9828168,-124.1113687,51,A
6Y8,Welke Airport,45.721111,-85.520278,664,A
70J,Cairo-Grady County Airport,30.8879767,-84.1547353,265,A
70N,Spring Hill Airport,41.3473569,-75.4158972,1729,A
7A4,Foster Field,42.4664444,-90.1693889,990,A
7D9,Germack Airport,41.7778322,-80.9039797,820,A
7N7,Spitfire Aerodrome,39.7355633,-75.3977211,40,A
8M8,Garland Airport,44.8065278,-84.2761944,1218,A
93C,Richland Airport,43.2833575,-90.2982819,742,A
99N,Bamberg County Airport,33.3045278,-81.1084167,231,A
9A1,Covington Municipal Airport,33.6323083,-83.8474472,809,A
9A5,Barwick Lafayette Airport,34.6884792,-85.2903319,777,A
9G1,Rock Airport,40.6035463,-79.8261189,1063,A
A39,Phoenix Regional Airport,32.99169921875,-111.920997619629,1300,A
A50,Colorado Springs East,38.87,-104.41,6145,A
AAF,Apalachicola Regional Airport,29.7276066,-85.0274416,20,A
AAP,Andrau Airport,29.43,-95.35,80,A
ABE,Lehigh Valley Intl,40.652083,-75.440806,393,A
ABI,Abilene Rgnl,32.411319,-99.681897,1791,A
ABL,Ambler Airport,67.106389,-157.8575,334,A
ABQ,Albuquerque International Sunport,35.0402222,-106.6091944,5355,A
ABR,Aberdeen Regional Airport,45.4491,-98.4218,1302,A
ABY,Southwest Georgia Regional Airport,31.5355,-84.1945,197,A
ACJ,Jimmy Carter Regional,32.0665,-84.1133,468,A
ACK,Nantucket Mem,41.253053,-70.060181,48,A
ACT,Waco Rgnl,31.611289,-97.230519,516,A
ACV,Arcata,40.978111,-124.108611,221,A
ACY,Atlantic City Intl,39.457583,-74.577167,75,A
ADK,Adak Airport,51.878,-176.646,18,A
ADM,Ardmore Muni,34.300833,-97.008889,762,A
ADQ,Kodiak,57.749967,-152.493856,78,A
ADS,Addison,32.9685594,-96.8364478,644,A
ADW,Andrews Afb,38.810806,-76.867028,280,A
AET,Allakaket Airport,66.5519,-152.6222,441,A
AEX,Alexandria Intl,31.3274,-92.549833,89,A
AFE,Kake Airport,56.961389,-133.910278,172,A
AFW,Fort Worth Alliance Airport,32.987778,-97.318889,722,A
AGC,Allegheny County Airport,40.3544,-79.9302,1252,A
AGN,Angoon Seaplane Base,57.503611,-134.585,0,A
AGS,Augusta Rgnl At Bush Fld,33.369944,-81.9645,144,A
AHN,Athens Ben Epps Airport,33.9486,-83.3263,808,A
AIA,Alliance Municipal Airport,42.053333,-102.803889,3931,A
AIK,Municipal Airport,33.6493889,-81.6850278,529,A
AIN,Wainwright Airport,70.638056,-159.994722,41,A
AIZ,Lee C Fine Memorial Airport,38.096035,-92.5494875,869,A
AKB,Atka Airport,52.220278,-174.206389,56,A
AKC,Akron Fulton Intl,41.0375,-81.466917,1067,A
AKI,Akiak Airport,60.902778,-161.230556,30,A
AKK,Akhiok Airport,56.938611,-154.1825,44,A
AKN,King Salmon,58.676778,-156.649278,68,A
AKP,Anaktuvuk Pass Airport,68.1336,-151.743,2103,A
ALB,Albany Intl,42.748267,-73.801692,285,A
ALI,Alice Intl,27.740889,-98.026944,178,A
ALM,Alamogordo White Sands Regional Airport,32.8399,-105.991,4200,A
ALO,Waterloo Regional Airport,42.5571,-92.4003,873,A
ALS,San Luis Valley Regional Airport,37.435,-105.866667,7539,A
ALW,Walla Walla Regional Airport,46.0949,-118.288,1191,A
ALX,Alexandria,38.806346,-77.0621,1,A
ALZ,Alitak Seaplane Base,56.899444,-154.247778,0,A
AMA,Rick Husband Amarillo Intl,35.219369,-101.705931,3607,A
ANB,Anniston Metro,33.588167,-85.858111,612,A
ANC,Ted Stevens Anchorage Intl,61.174361,-149.996361,152,A
AND,Anderson Rgnl,34.494583,-82.709389,782,A
ANI,Aniak Airport,61.5816,-159.543,88,A
ANN,Annette Island,55.042436,-131.572233,119,A
ANP,Lee Airport,38.942778,-76.568333,34,A
ANQ,Tri-State Steuben County Airport,41.6396983,-85.0834933,995,A
ANV,Anvik Airport,62.6467,-160.191,309,A
AOH,Lima Allen County Airport,40.707478,-84.0270781,975,A
AOO,Altoona Blair Co,40.296372,-78.320022,1504,A
AOS,Amook Bay Seaplane Base,57.471389,-153.815278,0,A
APA,Centennial,39.570129,-104.849294,5883,A
APC,Napa County Airport,38.2131944,-122.2806944,35,A
APF,Naples Muni,26.152619,-81.775294,8,A
APG,Phillips Aaf,39.466219,-76.168808,57,A
APN,Alpena County Regional Airport,45.0781,-83.5603,689,A
AQC,Klawock Seaplane Base,55.554658,-133.101693,0,A
ARA,Acadiana Rgnl,30.037758,-91.883896,24,A
ARB,Ann Arbor Municipal Airport,42.132274,-83.444418,839,A
ARC,Arctic Village Airport,68.1147,-145.579,2092,A
ART,Watertown Intl,43.991922,-76.021739,325,A
ARV,Lakeland,45.927778000000004,-89.730833,1629,A
ASE,Aspen Pitkin County Sardy Field,39.2232,-106.869,7820,A
ASH,Boire Field Airport,42.78175,-71.5147778,199,A
AST,Astoria Regional Airport,46.157972,-123.878694,15,A
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.4673,-157.436,96,A
ATL,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,1026,A
ATT,Camp Mabry Austin City,30.31666,-97.7666,0,A
ATW,Appleton,44.257526,-88.507576,680,A
ATY,Watertown Regional Airport,44.914,-97.1547,1748,A
AUG,Augusta State,44.320647,-69.797317,352,A
AUK,Alakanuk Airport,62.68,-164.66,10,A
AUO,Auburn University Regional,32.3691,-85.2604,777,A
AUS,Austin Bergstrom Intl,30.194528,-97.669889,542,A
AUW,Wausau Downtown Airport,44.9262845,-89.6270018,1201,U
AVL,Asheville Regional Airport,35.436194,-82.541806,2165,A
AVO,Executive,27.591389,-81.528889,160,A
AVP,Wilkes Barre Scranton Intl,41.338478,-75.723403,962,A
AVW,Marana Regional,32.409556,-111.218388,2031,U
AVX,Avalon,33.405,-118.415833,1602,A
AZA,Phoenix-Mesa Gateway,33.307833,-111.655,1382,N
AZO,Kalamazoo,42.234875,-85.552058,874,A
BAB,Beale Afb,39.136089,-121.436567,113,A
BAD,Barksdale Afb,32.50182,-93.662674,166,A
BAF,Barnes Municipal,42.1579472,-72.715875,270,A
BBX,Wings Field,40.1375,-75.265,302,A
BCE,Bryce Canyon,37.706444,-112.145806,7590,A
BCT,Boca Raton,26.3785,-80.107694,13,A
BDE,Baudette Intl,48.728444,-94.612222,1086,A
BDL,Bradley Intl,41.938889,-72.683222,173,A
BDR,Igor I Sikorsky Mem,41.163472,-73.126167,9,A
BEC,Beech Factory Airport,37.6939167,-97.2149167,1409,A
BED,Laurence G Hanscom Fld,42.469953,-71.289031,133,A
BEH,Southwest Michigan Regional Airport,42.1285833,-86.4285,643,A
BET,Bethel,60.779778,-161.838,121,A
BFD,Bradford Regional Airport,41.8031,-78.6401,2143,A
BFF,Western Nebraska Regional Airport,41.874,-103.596,3967,A
BFI,Boeing Fld King Co Intl,47.53,-122.301947,21,A
BFL,Meadows Fld,35.433598,-119.05677,507,A
BFM,Mobile Downtown,30.626783,-88.068092,26,A
BFP,Beaver Falls,40.7724722,-80.3914444,1253,A
BFT,Beaufort,32.477411,-80.723161,37,A
BGE,Decatur County Industrial Air Park,30.9715981,-84.6369278,141,A
BGM,Greater Binghamton Edwin A Link Fld,42.208689,-75.979839,1636,A
BGR,Bangor Intl,44.807444,-68.828139,192,A
BHB,Hancock County - Bar Harbor,44.4497689,-68.3615653,83,A
BHM,Birmingham Intl,33.562942,-86.75355,644,A
BID,Block Island State Airport,41.168056,-71.577778,108,A
BIF,Biggs Aaf,31.849528,-106.380039,3948,A
BIG,Allen Aaf,63.994547,-145.721642,1291,A
BIL,Billings Logan International Airport,45.80921,-108.537654,3652,A
BIS,Bismarck Municipal Airport,46.775842,-100.757931,1661,A
BIV,Tulip City Airport,42.7427778,-86.1078333,698,A
BIX,Keesler Afb,30.410425,-88.924433,33,A
BJC,Rocky Mountain Metropolitan Airport,39.90888888,-105.11722222,5670,A
BJI,Bemidji Regional Airport,47.510722,-94.934722,1391,A
BKC,Buckland Airport,65.981667,-161.149167,31,A
BKD,Stephens Co,32.719047,-98.891,1284,A
BKF,Buckley Afb,39.701668,-104.75166,5662,A
BKG,Branson LLC,36.531994,-93.200556,1302,A
BKH,Barking Sands Pmrf,22.022833,-159.785,23,A
BKL,Burke Lakefront Airport,41.5175,-81.683333,583,A
BKW,Raleigh County Memorial Airport,37.7873,-81.1242,2504,A
BKX,Brookings Regional Airport,44.3048,-96.8169,1648,A
BLD,Boulder City Municipal Airport,35.5651,-114.514,2201,U
BLF,Mercer County Airport,37.2958,-81.2077,2857,A
BLH,Blythe Airport,33.619167,-114.716889,399,A
BLI,Bellingham Intl,48.792694,-122.537528,170,A
BLV,Scott Afb Midamerica,38.545178,-89.835183,459,A
BMC,Brigham City,41.552,-112.062,4229,A
BMG,Monroe County Airport,39.1460208,-86.6166805,846,A
BMI,Central Illinois Rgnl,40.477111,-88.915917,871,A
BMT,Beaumont Municipal,30.0702044,-94.2150967,32,A
BMX,Big Mountain Afs,59.361247,-155.258822,663,A
BNA,Nashville Intl,36.124472,-86.678194,599,A
BOI,Boise Air Terminal,43.564361,-116.222861,2871,A
BOS,General Edward Lawrence Logan Intl,42.364347,-71.005181,19,A
BOW,Bartow Municipal Airport,27.9434,-81.7834,125,U
BPT,Southeast Texas Rgnl,29.950833,-94.020694,15,A
BQK,Brunswick Golden Isles Airport,31.2588,-81.4665,26,A
BRD,Brainerd Lakes Rgnl,46.398308,-94.138078,1226,U
BRL,Southeast Iowa Regional Airport,40.7832,-91.1255,698,A
BRO,Brownsville South Padre Island Intl,25.906833,-97.425861,22,A
BRW,Wiley Post Will Rogers Mem,71.285446,-156.766003,44,A
BSF,Bradshaw Aaf,19.760056,-155.553717,6190,A
BTI,Barter Island Lrrs,70.133989,-143.581867,2,A
BTM,Bert Mooney Airport,45.954806,-112.497472,5550,A
BTR,Baton Rouge Metro Ryan Fld,30.533167,-91.149639,70,A
BTT,Bettles,66.913944,-151.529056,644,A
BTV,Burlington Intl,44.471861,-73.153278,335,A
BUF,Buffalo Niagara Intl,42.940525,-78.732167,724,A
BUR,Bob Hope,34.200667,-118.358667,778,A
BUU,Municipal Airport,42.6907171,-88.3046825,780,A
BUY,Burlington-Alamance Regional Airport,36.0485433,-79.4748892,617,A
BVY,Beverly Municipal Airport,42.584141,-70.9161444,107,A
BWD,KBWD,31.7936111,-98.9565,1387,A
BWG,Bowling Green-Warren County Regional Airport,36.9645278,-86.4196667,547,A
BWI,Baltimore Washington Intl,39.175361,-76.668333,146,A
BXK,Buckeye Municipal Airport,33.420417,-112.68618,1033,U
BXS,Borrego Valley Airport,33.2590278,-116.3209722,520,A
BYH,Arkansas Intl,35.964347,-89.943956,254,A
BYS,Bicycle Lake Aaf,35.280531,-116.630031,2350,A
BYW,Blakely Island Airport,48.56025,-122.80243,0,A
BZN,Gallatin Field,45.777643,-111.160151,4500,A
C02,Grand Geneva Resort Airport,42.6149167,-88.3895833,835,U
C16,Frasca Field,40.144979,-88.200197,735,A
C47,Portage Municipal Airport,43.5603136,-89.4828607,825,U
C65,Plymouth Municipal Airport,41.3651307,-86.3002574,800,A
C89,Sylvania Airport,42.70325,-87.9589722,785,A
C91,Dowagiac Municipal Airport,41.9929342,-86.1280125,748,U
CAE,Columbia Metropolitan,33.938833,-81.119528,236,A
CAK,Akron Canton Regional Airport,40.9160833,-81.4421944,1228,A
CAR,Caribou Muni,46.8715,-68.017917,626,A
CBE,Greater Cumberland Rgnl.,39.615278000000004,-78.760556,775,A
CBM,Columbus Afb,33.643833,-88.443833,219,A
CCO,Coweta County Airport,33.3115656,-84.7697554,970,A
CCR,Buchanan Field Airport,37.9896667,-122.0568889,26,A
CDB,Cold Bay,55.206061,-162.725436,96,A
CDC,Cedar City Rgnl,37.700967,-113.098847,5622,A
CDI,Cambridge Municipal Airport,39.9750278,-81.5775833,799,U
CDK,CedarKey,29.1342222,-83.0504722,11,A
CDN,Woodward Field,34.2835833,-80.5648611,302,A
CDR,Chadron Municipal Airport,42.8375,-103.095556,3297,A
CDS,Childress Muni,34.433781,-100.287992,1954,A
CDV,Merle K Mudhole Smith,60.491778,-145.477556,48,A
CDW,Caldwell Essex County Airport,40.8752222,-74.2813611,172,A
CEC,Del Norte County Airport,41.7802,-124.237,57,A
CEF,Westover Arb Metropolitan,42.194014,-72.534783,241,A
CEM,Central Airport,65.573889,-144.780833,937,A
CEU,Clemson,34.6722222,-82.8858889,891,A
CEW,Bob Sikes,30.778833,-86.522111,213,A
CEZ,Cortez Muni,37.303,-108.628056,5918,A
CFD,Coulter Fld,30.715694,-96.331361,367,A
CGA,Craig Seaplane Base,55.478889,-133.147778,0,A
CGC,Crystal River,28.8676111,-82.5741111,9,A
CGF,Cuyahoga County,41.565124,-81.4863555,879,A
CGI,Cape Girardeau Regional Airport,37.2253,-89.5708,342,A
CGX,Meigs Field,41.860278,-87.609722,585,A
CGZ,Casa Grande Municipal Airport,32.954889,-111.766832,1464,U
CHA,Lovell Fld,35.035278,-85.203808,683,A
CHI,All Airports,41.883611,-87.631667,596,A
CHO,Charlottesville-Albemarle,38.138639,-78.452861,639,A
CHS,Charleston Afb Intl,32.898647,-80.040528,45,A
CHU,Chuathbaluk Airport,61.579167,-159.215556,243,A
CIC,Chico Muni,39.795383,-121.858422,238,A
CID,Cedar Rapids,41.884694,-91.710806,869,A
CIK,Chalkyitsik Airport,66.645,-143.74,544,A
CIL,Council Airport,64.897778,-163.703333,85,A
CIU,Chippewa County International Airport,46.2508,-84.4724,800,A
CKB,Harrison Marion Regional Airport,39.2966,-80.2281,1217,A
CKD,Crooked Creek Airport,61.867778,-158.135,178,A
CKF,Crisp County Cordele Airport,31.9888333,-83.7739167,310,A
CKV,Clarksville-Montgomery County Regional Airport,36.621944,-87.415,550,A
CLC,Clear Lake Metroport,29.5569,-95.137497,35,A
CLD,McClellan-Palomar Airport,33.0742,-117.1648,328,A
CLE,Cleveland Hopkins Intl,41.411689,-81.849794,791,A
CLL,Easterwood Fld,30.588583,-96.363833,321,A
CLM,William R Fairchild International Airport,48.1202,-123.5,291,A
CLS,Chehalis-Centralia,46.4062,-122.5897,177,A
CLT,Charlotte Douglas Intl,35.214,-80.943139,748,A
CLW,Clearwater Air Park,27.9764722,-82.7586667,70,A
CMH,Port Columbus Intl,39.997972,-82.891889,815,A
CMI,Champaign,40.03925,-88.278056,754,A
CMX,Houghton County Memorial Airport,47.1684,-88.4891,1095,A
CNM,Cavern City Air Terminal,32.337472,-104.263278,3295,A
CNW,Tstc Waco,31.637831,-97.074139,470,A
CNY,Canyonlands Field,38.755,-109.754722,4555,A
COD,Yellowstone Rgnl,44.520194,-109.023806,5102,A
COE,Pappy Boyington,47.7743056,-116.8195833,2320,A
COF,Patrick Afb,28.234922,-80.610125,8,A
COI,Merritt Island Airport,28.3416111,-80.6854722,6,A
CON,Concord Municipal,43.20267,-71.50233,342,A
COS,City Of Colorado Springs Muni,38.805805,-104.700778,6187,A
COT,Cotulla Lasalle Co,28.456694,-99.220294,474,A
COU,Columbia Rgnl,38.818094,-92.219631,889,A
CPR,Natrona Co Intl,42.908,-106.464417,5347,A
CPS,St. Louis Downtown Airport,38.5707244,-90.1562211,413,U
CRE,Grand Strand Airport,33.81175,-78.7239444,31,A
CRP,Corpus Christi Intl,27.770361,-97.501222,44,A
CRW,Yeager,38.373147,-81.593189,981,A
CSG,Columbus Metropolitan Airport,32.5163333,-84.9388611,397,A
CTB,Cut Bank Muni,48.608353,-112.376144,3854,A
CTH,Chester County G O Carlson Airport,39.9789,-75.8654,660,A
CTJ,West Georgia Regional Airport - O V Gray Field,33.6316964,-85.1522641,1165,A
CTY,Cross City,29.6355278,-83.10475,42,A
CVG,Cincinnati Northern Kentucky Intl,39.048836,-84.667822,896,A
CVN,Clovis Muni,34.425139,-103.079278,4216,A
CVO,Corvallis Muni,44.5067,-123.2915,250,A
CVS,Cannon Afb,34.382775,-103.322147,4295,A
CVX,Charlevoix Municipal Airport,45.3047778,-85.2753333,669,A
CWA,Central Wisconsin,44.772726,-89.646635,840,A
CWI,Clinton Municipal,41.83075,-90.3289722,708,A
CWT,Chatsworth Station,34.256944,-118.598889,978,A
CXF,Coldfoot Airport,67.251389,-150.176111,1014,A
CXL,Calexico Intl,32.669502,-115.51333,4,A
CXO,Lone Star Executive,30.351833,-95.414467,245,A
CXY,Capital City Airport,40.2171389,-76.8513611,347,A
CYF,Chefornak Airport,60.149167,-164.285556,40,A
CYM,Chatham Seaplane Base,57.515,-134.946111,0,A
CYS,Cheyenne Rgnl Jerry Olson Fld,41.155722,-104.811839,6156,A
CYT,Yakataga Airport,60.081901,-142.493611,12,A
CZF,Cape Romanzof Lrrs,61.780297,-166.038747,457,A
CZG,Tri-Cities,42.0471,-76.0578,833,A
CZN,Chisana Airport,62.071111,-142.048333,1011,A
DAB,Daytona Beach Intl,29.179917,-81.058056,34,A
DAL,Dallas Love Fld,32.847111,-96.851778,487,A
DAW,Skyhaven Airport,43.2840556,-70.9292778,321,A
DAY,James M Cox Dayton Intl,39.902375,-84.219375,1009,A
DBN,W H Barron Field,32.3388,-82.591,311,A
DBQ,Dubuque Rgnl,42.402,-90.709472,1076,A
DCA,Ronald Reagan Washington Natl,38.852083,-77.037722,15,A
DDC,Dodge City Regional Airport,37.7634,-99.9656,2594,A
DEC,Decatur,39.834564,-88.865689,682,A
DEN,Denver Intl,39.861656,-104.673178,5431,A
DET,Coleman A Young Muni,42.409195,-83.009861,626,A
DFW,Dallas Fort Worth Intl,32.896828,-97.037997,607,A
DGL,Douglas Municipal Airport,31.3426028,-109.5064544,4173,N
DHB,Deer Harbor Seaplane,48.618397,-123.00596,0,A
DHN,Dothan Rgnl,31.321339,-85.449628,401,A
DHT,Dalhart Muni,36.022586,-102.547278,3991,A
DIK,Dickinson Theodore Roosevelt Regional Airport,46.7975,-102.801944,2592,A
DKB,De Kalb Taylor Municipal Airport,41.9338342,-88.7056864,914,U
DKK,Chautauqua County-Dunkirk Airport,42.4933353,-79.2720417,693,A
DKX,Knoxville Downtown Island Airport,35.9638333,-83.8736667,833,A
DLF,Laughlin Afb,29.359486,-100.777975,1082,A
DLG,Dillingham,59.044667,-158.5055,74,A
DLH,Duluth Intl,46.842091,-92.193649,1428,A
DLL,Baraboo Wisconsin Dells Airport,43.5217843,-89.7709266,979,A
DMA,Davis Monthan Afb,32.166467,-110.883144,2704,A
DNL,Daniel Field Airport,33.4665028,-82.0393808,423,A
DNN,Dalton Municipal Airport,34.7229444,-84.87025,709,A
DNV,Vermilion Regional,40.1996944,-87.5955278,696,A
DOV,Dover Afb,39.129539,-75.465958,28,A
DPA,Dupage,41.907778,-88.248611,758,A
DQH,Douglas Municipal Airport,31.4767385,-82.8605664,257,A
DRG,Deering Airport,66.0696,-162.766,21,A
DRI,Beauregard Rgnl,30.831722,-93.339917,202,A
DRM,Drummond Island Airport,46.0093114,-83.7439342,668,A
DRO,Durango La Plata Co,37.151516,-107.75377,6685,A
DRT,Del Rio Intl,29.374208,-100.927158,1002,A
DSM,Des Moines Intl,41.533972,-93.663083,958,A
DTA,Delta Municipal Airport,39.3806386,-112.5077147,4759,A
DTS,Destin,30.4000611,-86.4714772,23,A
DTW,Detroit Metro Wayne Co,42.212444,-83.353389,645,A
DUC,Halliburton Field Airport,34.4713056,-97.9598611,1114,A
DUG,Bisbee Douglas Intl,31.469028,-109.603667,4154,A
DUJ,DuBois Regional Airport,41.1783,-78.8987,1817,A
DUT,Unalaska,53.900139,-166.5435,22,A
DVL,Devils Lake Regional Airport,48.114444,-98.908611,1445,A
DVT,Deer Valley Municipal Airport,33.4117,112.457,1478,A
DWA,Yolo County Airport,38.5793889,-121.8569444,100,A
DWH,David Wayne Hooks Field,30.063746,-95.554276,152,A
DWS,Orlando,28.398,-81.57,340,A
DXR,Danbury Municipal Airport,41.3715353,-73.4821906,458,A
DYS,Dyess Afb,32.420756,-99.8546,1789,A
E25,Wickenburg Municipal Airport,33.96889877,-112.7990036,2377,A
E51,Bagdad Airport,34.5958528,-113.170195,4183,A
E55,Ocean Ridge Airport,38.8016111,-123.5306389,940,A
E63,Gila Bend Municipal Airport,32.960169,-112.673636,789,U
E91,Chinle Municipal Airport,36.1108806,-109.5754222,5547,N
EAA,Eagle Airport,64.778056,-141.149722,908,A
EAR,Kearney Municipal Airport,40.727,-99.0068,2131,A
EAT,Pangborn Field,47.398,-120.206,1249,A
EAU,Chippewa Valley Regional Airport,44.8658,-91.4843,913,A
ECA,Iosco County,44.311,-83.422,606,A
ECG,Elizabeth City Cgas Rgnl,36.260581,-76.174572,12,A
ECP,Panama City-NW Florida Bea.,30.3417,-85.7973,69,A
EDF,Elmendorf Afb,61.250986,-149.806503,212,A
EDW,Edwards Afb,34.905417,-117.883739,2302,A
EEK,Eek Airport,60.213611,-162.043889,15,A
EEN,Dillant Hopkins Airport,72.270833,42.898333,149,A
EET,Shelby County Airport,33.1777778,-86.7832222,586,A
EFD,Ellington Fld,29.607333,-95.15875,32,A
EGA,Eagle County Airport,39.6427611,-106.9159347,6548,U
EGE,Eagle Co Rgnl,39.642556,-106.917694,6540,A
EGT,Wellington Municipal,37.39411,-97.423225,1277,A
EGV,Eagle River,45.932333,-89.268283,1642,A
EGX,Egegik Airport,58.185556,-157.375556,92,A
EHM,Cape Newenham Lrrs,58.646428,-162.062778,541,A
EIL,Eielson Afb,64.665667,-147.1015,548,A
EKI,Elkhart Municipal,41.719444,-86.003333,778,A
EKN,Elkins Randolph Co Jennings Randolph,38.889444,-79.857139,1987,A
EKO,Elko Regional Airport,40.8249,-115.792,5140,A
EKY,Bessemer,33.1876,-86.5558,700,A
ELD,South Arkansas Rgnl At Goodwin Fld,33.220972,-92.813278,277,A
ELI,Elim Airport,64.615,-162.270556,162,A
ELM,Elmira Corning Rgnl,42.159889,-76.891611,954,A
ELP,El Paso Intl,31.80725,-106.377583,3958,A
ELV,Elfin Cove Seaplane Base,58.195278,-136.3475,0,A
ELY,Ely Airport,39.299722,-114.841944,6259,A
EMK,Emmonak Airport,62.786111,-164.490833,13,A
EMP,Emporia Municipal Airport,38.3321,-96.1912,1208,A
ENA,Kenai Muni,60.573111,-151.245,99,A
END,Vance Afb,36.339167,-97.9165,1307,A
ENV,Wendover,40.718694,-114.030889,4237,A
ENW,Kenosha Regional Airport,42.5956944,-87.9278056,742,A
EOK,Keokuk Municipal Airport,40.4599078,-91.4285011,671,A
EPM,Eastport Municipal Airport,44.9101111,-67.0126944,45,A
EQY,Monroe Reqional Airport,35.01833,-80.62001,679,A
ERI,Erie Intl Tom Ridge Fld,42.082022,-80.176217,733,A
ERV,Kerrville Municipal Airport,29.9766667,-99.0854722,1617,A
ERY,Luce County Airport,46.311199,-85.457298,869,A
ESC,Delta County Airport,45.722778,-87.093611,609,A
ESD,Orcas Island Airport,48.708056,-122.910556,31,A
ESF,Esler Rgnl,31.394903,-92.295772,112,A
ESN,Easton-Newnam Field Airport,38.8041667,-76.069,72,A
EUF,Weedon Field,31.5708,-85.0774,285,A
EUG,Mahlon Sweet Fld,44.124583,-123.211972,374,A
EVV,Evansville Regional,38.036997,-87.532364,418,A
EVW,Evanston-Uinta CO Burns Fld,41.1649,-111.0208,7143,A
EWB,New Bedford Regional Airport,41.6761,-70.9569,80,A
EWK,Newton City-County Airport,38.0570785,-97.2752278,1533,A
EWN,Craven Co Rgnl,35.072972,-77.042944,18,A
EWR,Newark Liberty Intl,40.6925,-74.168667,18,A
